component	source	revision	license
ffmpeg-kit-next	https://github.com/onnellab/ffmpeg-kit-next	SELF	LGPL-3.0-or-later
ffmpeg	https://github.com/arthenica/FFmpeg	38b88335f99e76ed89ff3c93f877fdefce736c13	LGPL-3.0-or-later
lame	https://github.com/arthenica/lame	b8f6b9e0fdbfb6fecfc106e8d24af240eac44b22	LGPL-2.0-or-later
libilbc	https://github.com/arthenica/libilbc	cd064edf2c6c104a4e1fd87b34fd24cfa6dbe401	BSD-3-Clause
libogg	https://github.com/arthenica/ogg	be05b13e98b048f0b5a0f5fa8ce514d56db5f822	BSD-3-Clause
libsndfile	https://github.com/arthenica/libsndfile	72f6af15e8f85157bd622ed45b979025828b7001	LGPL-2.1-or-later
libvorbis	https://github.com/arthenica/vorbis	0657aee69dec8508a0011f47f3b69d7538e9d262	BSD-3-Clause
opencore-amr	https://github.com/arthenica/opencore-amr	7dba8c32238418ce0b316a852b2224df586ca896	Apache-2.0
opus	https://github.com/arthenica/opus	ddbe48383984d56acd9e1ab6a090c54ca6b735a6	BSD-3-Clause
shine	https://github.com/arthenica/shine	97f188efc3dc90315b79a2af1f477c0c18d85e82	LGPL-2.0-or-later
soxr	https://github.com/arthenica/soxr	945b592b70470e29f917f4de89b4281fbbd540c0	LGPL-2.1-or-later
speex	https://github.com/arthenica/speex	5dceaaf3e23ee7fd17c80cb5f02a838fd6c18e01	BSD-3-Clause
twolame	https://github.com/arthenica/twolame	bec4069996479aa1aa9d9e7fa32c33135b3a2047	LGPL-2.1-or-later
vo-amrwbenc	https://github.com/arthenica/vo-amrwbenc	080af7540562e4adfbd3312837fe5fc6771c4cd0	Apache-2.0
abseil-cpp	https://github.com/arthenica/abseil-cpp	1bae23e32ba1f1af7c7d1488a69a351ec96dc98d	Apache-2.0
gnu-config	https://github.com/arthenica/gnu-config	805517123cbfe33d17c989a18e78c5789fab0437	LicenseRef-GNU-config-exception
gas-preprocessor	https://github.com/arthenica/gas-preprocessor	d09971fad329d32df19f5bbafe88cf2f0ed04ed7	GPL-2.0-or-later
